report_id;study_id;treatment_id;t_type;t_program;t_name;t_desc;t_prac_form;t_prac_inform;t_deliver;t_session_no;t_session_l;t_add;t_total_wks;t_attend;t_ho;t_ho_l;t_ho_average;t_ho_SD;t_n_base;t_harm,,,,,,,,,,
"1;1;1;1;2;MBCT;full description by Segal et al. (39) ;""body scan; sitting meditation; stretch & breath; mindful movement; working with difficulty; 3 min breathing space (from Segal et al.)"";""raisin exercise; mindful walking (Segal et al.)"";1;12;60;2;12;NA;1;NA;NA;NA;15;NA",,,,,,,,,,
"2;2;1;1;1;mindfulness intervention;""diet/exercise guidelines; meditation practices modeled on MBSR"," mindful eating pactices modeled on Mindfulness-based Eating Awareness Training program"";""sitting meditation (awareness of breath", thoughts, feelings, sounds," and body sensations); loving kindness; yoga postures; walking meditation"";awareness of eating;1;16;150;1;22;74% attended 12/17 classes;1;30;71.3;50.9;100;""not systematically; no adverse events throughout the study"," pg 190""",,,,
"4;3;1;1;7;mindfulness therapy (MT);""20 treatment days in cognitive intensive outpatient program before -> then MT; the focus was on learning mindfulness practice. All of the participants in this track engaged in three hour mindfulness",,,,,,,,,,
education and practice and listened daily to a 30-minute CD which consisted of mindful breathing exercises,,,,,,,,,,
and focused on sensations in various parts of their bodies with awareness and non-judgment. Patients were,,,,,,,,,,
further educated to mindfulness principles of letting go, staying in the present, and viewing thoughts as mental,,,,,,,,
"events and not facts"";NA;NA;1;4;180;2;4;NA;1;30;NA;NA;NA;NA",,,,,,,,,,
"5;4;1;1;7;group based MBSR;""Adapted MBSR for anxiety disorders followed a manualized protocol3",,,,,,,,,,
writtenprimarily by the first author (J.J.A.) in collaborationwith,,,,,,,,,,
three experienced MBSR instructors. The manual largely reflected,,,,,,,,,,
MBSR protocols from the University of Massachusetts Center for,,,,,,,,,,
Mindfulness (Kabat-Zinn,1990). In contrast to officialMBSR, however,,,,,,,,
our adapted MBSR manual reflected patient and provider concerns,,,,,,,,,,
from previous MBSR groups at the San Diego VA that group sessions,,,,,,,,,,
the retreat, and homework were too long to sustain veterans’ attention,,,,,,,,,
"4"";""raisin exercise; body scan; sitting meditation; mindful yoga; 3 minute breathing space; brief loving kindness meditation"";NA;1;10;90;1;10;""MBSR M= 5.64", SD= 2.87; CBT M= 6.27," SD= 2.82"";1;20-30;NA;NA;NA;NA",,,,,,,,
"6;5;1;1;7;mindfulness meditation;""Mindfulness meditation was used in an attempt to",,,,,,,,,,
uncouple or neutralise the sensory signal of tinnitus,,,,,,,,,,
from the interpretative and behavioural response,,,,,,,,,,
thereby preventing a weak signal having a powerful,,,,,,,,,,
"conditioned response."";sitting meditation;application to everyday life;1;5;40;2;15;NA;1;25;NA;NA;42;NA",,,,,,,,,,
"7;6;1;1;1;brief mindfulness group;""introduction to mindfulness", benefits of mindfulness and mindfulness,,,,,,,,,
breathing and body scan skills. The second session covered the adverse,,,,,,,,,,
effects of psychological distress on treatment outcome, sharing of,,,,,,,,,
participants’ mindfulness practice experiences (Romcevich et al., 2018),,,,,,,,,
and discussing barriers to using mindfulness skills on the day of the,,,,,,,,,,
blood test ?2 weeks after down-regulation. The third session included,,,,,,,,,,
reviewing the contents of the previous two sessions. The fourth session,,,,,,,,,,
was the same as the third session and took place on the last day of the,,,,,,,,,,
"hormone therapy"";body scan;mindful breathing;1;4;60;2;4;mean session attendence BMG 2.75 (0.90);1;20;""mean number of days of actual home practice 8.61; calculated 20min * 8.61 for total amount in minutes"";2.33;78;""Not systematically; No adverse events occurred during the study. Pg 1241""",,,,,,,,,,
"8;7;1;1;2;mindfulness-based cognitive therapy;""We followed the standard protocol for MBCT",,,,,,,,,,
(Segal et al., 2002) except that we placed greater emphasis on,,,,,,,,,
patterns and thoughts associated with suicidality, its escalation,,,,,,,,,
"and preparation of an action plan to respond to suicidal crisis."";""body scan; sitting meditation; stretch & breath; mindful movement; working with difficulty; 3 min breathing space "";""raisin exercise; mindful walking "";1;8;120;2;8;89 of MBCT participants comleted 4 or more sessions;1;60;""3.36 days per week; 3.36*8days*60minutes= 1612","8 minutes in total "";1.77;77;""yes: Participants reported 15 SAEs to the research team", five arising,,,,,,,,
from MBCT and 10 from CPE. We adjudged only one to be a,,,,,,,,,,
“serious adverse reaction” potentially arising from a trial treatment—,,,,,,,,,,
an episode of serious suicidal ideation following discussion,,,,,,,,,,
of different coping responses to low mood in CPE. The rest were,,,,,,,,,,
overnight admissions: 13 for physical health problems and one,,,,,,,,,,
following an overdose during follow-up in a patient who had,,,,,,,,,,
received MBCT. One participant died from an unrelated medical,,,,,,,,,,
condition after partially withdrawing from trial follow-up due to,,,,,,,,,,
"illness.""",,,,,,,,,,
"9;8;1;1;7;Moment-by-Moment in Women's recovery (MMWR);""Students learned about the role of automatic reactivity to stressors and its relation to addiction and relapse; the connections between stress", triggers, and relapse; and how to use mindfulness practices to respond best to related thoughts, emotions, body sensations (including those related to stress in a residential treatment setting that could lead to treatment dropout), and triggers while still avoiding relapse. As with MBSR," trainees learned and practiced self-regulation strategies using four foundational mindfulness practices"";""sitting mediation; loving kindness meditation; walking meditation; body scan; mindful stretching"";""stop light technique; triangle of awareness; mindfulness of breath", emotions, thought, body sensations," cravings"";1;12;80;2;6;""MMWR 9.5 (3.2); NA 9.9 (2.9)"";1;NA;NA;NA;114;NA"
"10;9;1;1;7;mindful awareness practices (MAPs) for daily living;""Session titles by week include: (1) Introduction to mindfulness",-2,,,,,,,,,
Listening, embodiment and obstacles, (3) Working with pain, (4) Difficult emotions and,,,,,,,
cultivating positive emotions, (5) Thoughts and mindful interactions, and (6) Loving kindness,,,,,,,,
"and class wrap-up"";""mindful sitting meditation; body scan; eating meditation; daily life meditation; relational mindfulness; appreciation meditation; loving-kindness meditation; walking and standing meditation; movement meditation; practices to develop positive emotions"";NA;1;6;120;2;6;4.2 (1.9) mean session attendance;1;5 to 20;""median meditation practice time across intervention period 17.2 hours (range 3.7 to 65.3) -> times 60 for total amount in minutes; median number of unique practice sessions 111 (37-179)"";NA;24;no",,,,,,,,,,
"11;10;1;2;7;mantram repetition therapy;""Mantram therapy is based on the premise that silently repeating",,,,,,,,,,
a mantram (a spiritually related word or phrase selected,,,,,,,,,,
by each individual from a recommended list) enables,,,,,,,,,,
users to train attention, initiate relaxation, and become aware,,,,,,,,
of the presentmoment are taught—“slowing down” and “one-pointed attention”—has,,,,,,,,,,
been shown to reduce stress and increase emotional selfregulation,,,,,,,,,,
(13–17). Participants were encouraged to practice,,,,,,,,,,
all three skills as often as possible to interrupt stressful,,,,,,,,,,
thoughts, feelings, or behaviors and ultimately to manage,,,,,,,,
symptoms such as hyperarousal, anger, irritability, insomnia,,,,,,,
flashbacks," and numbing/avoidance"";NA;NA;2;8;60;2;8;among study-completers 7.80 sessions ;1;NA;""10.23 mean number of mantram sessions per day; 6.05 mean number of days per week using mantram; 5.38 mean numbe of nights per week using mantram"";""1.49; 14.61; 1.94 respectively"";89;""Yes: There were four adverse",,,,,,,,,
events, all judged to be unrelated to the study protocol (e.g.,,,,,,,,,
"substance abuse relapse and inpatient detoxification).""",,,,,,,,,,
"12;11;1;1;2;MBCT;""following the standard protocol (Segal et al.",,,,,,,,,,
2002): Participants,,,,,,,,,,
are first trained in sustained focused attention to the breath and,,,,,,,,,,
to other bodily sensations. Later, still using the breath as an,,,,,,,,,
anchor for concentration, they are taught to include thoughts and,,,,,,,,,
emotions as objects of mindful attention and learn to perceive,,,,,,,,,,
them as mental events and not as absolute truth, self or reality,,,,,,,,,
"(metacognitive awareness)."";NA;NA;1;8;120;2;8;NA;1;45;120;NA;49;NA",,,,,,,,,,
"13;12;1;1;1;MBSR;""The MBSR for anxiety disorders protocol from Arch et al. (2013)",,,,,,,,,,
was used, which is based on MBSR protocols from the University of,,,,,,,,,
Massachusetts Center for Mindfulness (Kabat-Zinn," 1990)."";""body scan; raising exercise; sitting meditation; 3 minute breathing space; 3 minute coping breathing space; mindful yoga; loving kindness"";NA;1;8;90;2;8;mean number of sessions attended: 6.31 (1.03);1;30;NA;NA;20;NA",,,,,,,,,
"14;13;1;1;7;Body-Affective Mindfulness (BAM);""BAM is based on (1) awareness practices such as",,,,,,,,,,
body scan, breath meditation, walking meditation and yoga,,,,,,,,
exercises; (2) mindfulness in relationship practices such as,,,,,,,,,,
loving kindness, enriching listening to nature and persons,,,,,,,,,
and self-compassion; (3) sensorimotor psychotherapy (Ogden,,,,,,,,,,
et al., 2006). Sensorimotor psychotherapy emphasizes the use of,,,,,,,,,
somatic resources to attain and sustain a mindful disposition and ntegrates the concept of a stress response with the concept of a,,,,,,,,,,
“window of tolerance” (Siegel," 2015)..."";""body scan; breath meditation; walking meditation; yoga ecercises; loving-kindness meditation"";NA;1;8;180;1;8;NA;1;45;NA;NA;45;NA",,,,,,,,,
"15;14;1;1;1;Mindfulness based cancer recovery (MBCR);""The intervention was modeled",,,,,,,,,,
on the MBSR program developed at the Massachusetts Medical Center,4,,,,,,,,,
modified by Carlson and Speca 6 as MBCR; MBCR has its roots in contemplative spiritual traditions, in,,,,,,,,,
which mindfulness, conscious awareness in the present moment in an open,,,,,,,,,
and nonjudgmental manner," is actively practiced"";""body scan; sitting meditation; yoga; nature meditation; choiceless awareness meditation; loving-kindness meditation"";NA;1;8;90;1;8;NA;1;NA;NA;NA;113;NA",,,,,,,,,
"16;15;1;1;7;affect regulation treatment to ehance methamphetamine intervention success (ARTEMIS);""all get contingency management (CM): evidence-based",,,,,,,,,,
behavioral intervention where individuals receive tangible,,,,,,,,,,
reinforcement for biologically confirmed substance,,,,,,,,,,
abstinence that has been tested as a stand-alone intervention,,,,,,,,,,
and shown to boost the effectiveness of cognitivebehavioral,,,,,,,,,,
therapy with stimulant users; targets positive affect; consists of eight core skills, that have been shown to increase positive affect in prioir clinical research; detailed description (Carrico et al.," 2016a)"";""breath meditation; mountain meditation; loving kindess meditation"";yes;2;5;60;2;5;49 (89% completed all 5 sessions;1;NA;64% reported practicing meditation exercises at least weekly;NA;55;no",,,,,,,,
"18;16;1;1;2;mindfulness-based cognitive therapy (MBCT);""MBCT is a manualised eight-week group program incorporating",,,,,,,,,,
various mindfulness and cognitive restructuring,,,,,,,,,,
techniques; The details of each session and the entire,,,,,,,,,,
program was illustrated thoroughly in the major MBCT,,,,,,,,,,
"manual [32]."";""body scan; sitting meditation; mindful hatha yoga; minful movement"";mindfulness of daily activities;1;8;120;2;8;NA;1;NA;NA;NA;62;NA",,,,,,,,,,
"19;17;1;1;1;mindfulness based stress reduction (MBSR);""MBSR was modeled closely after the original MBSR",,,,,,,,,,
program 9—adaptated from the 2009 MBSR instructor’s,,,,,,,,,,
manual 18 by a senior MBSR instructor.TheMBSR program does,,,,,,,,,,
not focus specifically on a particular condition such as pain.,,,,,,,,,,
"All classes included didactic content and mindfulness practice"";""body scan; yoga; sitting meditation; walking meditation"";NA;1;8;120;1;8;59 (50.9%) attended at least 6 sessions in MBSR group;1;45;NA;NA;116;""Thirty of the 103 (29%) participants attending at least 1",,,,,,,,,,
MBSR session reported an adverse event (mostly temporarily increased pain with yoga). Ten of the 100 (10%) participants,,,,,,,,,,
who attended at least 1 CBT session reported an,,,,,,,,,,
adverse event (mostly temporarily increased pain with progressive,,,,,,,,,,
muscle relaxation). No serious adverse events were,,,,,,,,,,
"reported.""",,,,,,,,,,
"20;18;1;1;7;mindfulness group;""the mindfulness group", including focusing on,,,,,,,,,
issues and stress known to be relevant to their situation, coping,,,,,,,,,
skills, meditation," and relaxation."";NA;NA;1;12;120;2;12;NA;1;NA;NA;NA;33;NA",,,,,,,,
"22;19;1;2;6;transcendental meditation TM;""Intensive phase consisted of five consecutive sessions of two hours duration each day.",,,,,,,,,,
Follow-up phase involved bi-weekly sessions for three months, followed by monthly,,,,,,,,,
"sessions for additional three months."";NA;NA;1;14;120;2;24;NA;1;40;NA;NA;11;NA",,,,,,,,,,
"23;20;1;1;2;mindfulness-based cognitive therapy (MBCT);""according to Segal et al. 2002", adapted to group of patients experiencing current depressive symptoms; main changes: investigation of current automatic thoughts (vs. Past)," CBT exercises aimed to promote adaptive behaviours during current depressive episode (vs. relapse prevention)"";""body scan; sitting meditation; stretch & breath; mindful movement; working with difficulty; 3 min breathing space (from Segal et al.)"";""raisin exercise; mindful walking (Segal et al.)"";1;8;120;2;8;NA;1;45;NA;NA;26;NA",,,,,,,,
"24;21;1;1;1;mindfulness-based intervention (MBI);""developed by Larouche", Goulet, and Chouinard (2015),,,,,,,,
was based on Kabat-Zinn’s Mindfulness-Based Stress Reduction (1990) and several,,,,,,,,,,
other sources (Bartley, 2011; Carlson & Speca, 2010; Fournier, 2011; Monestès &,,,,,,,
Villate, 2011; Segal, Williams & Teasdale, 2012). The MBI program was designed with,,,,,,,
the specific needs and limitations of older adults in mind, based on the,,,,,,,,,
recommendations published by McBee (2008) and the results of a pilot study,,,,,,,,,,
(Larouche, Chouinard, Hudon & Goulet," 2015)."";""body scan; minful movement and walking; sitting meditation; meta-meditation"";NA;1;8;150;2;8;93.8% average participation rate;1;30;""2.5 hours of at home meditative practices per week; 2.5 * 8 weeks * 60 for amount in minutes"";NA;24;NA",,,,,,,
"25;22;1;1;2;mindfulness-based cognitive therapy (MBCT);""twelve participants.",,,,,,,,,,
MBCT is based on mindfulness training as developed,,,,,,,,,,
by Jon Kabat-Zinn at the University Medical Center of,,,,,,,,,,
Massachusetts, combined with psychoeducational elements,,,,,,,,,
from cognitive therapy. A detailed description of,,,,,,,,,,
the original intervention can be found in Segal, Williams,,,,,,,,,
& Teasdale [15]. In the proposed trial, a modified version,,,,,,,,,
of the manual will be applied: The mindfulness elements,,,,,,,,,,
are adopted from the original manual, and the cognitive,,,,,,,,,
"elements are tailored to patients with OCD"";""body scan; sitting meditation; stretch & breath; mindful movement; working with difficulty; 3 min breathing space (from Segal et al.)"";""raisin exercise; mindful walking (Segal et al.)"";1;8;120;2;8;mean of 6.5 treatment sessions;1;45;NA;NA;61;NA",,,,,,,,,,
"27;23;1;1;7;body scan (BS);""The BS intervention employed the body scan meditation", which is the first formal mindfulness technique introduced and practiced intensively in MBSR. A 20-min guided meditation was used to direct the participants’ attention to different regions of the body, starting with the toes of the left foot and moving slowly upwards to the top of the head. Scanning was done in silence, stillness," and sitting upright; no attention on breath"";body scan ;none;2;6;60;2;6;NA;1;20;total minutes over study: 663;184;27;NA",,,,,,
27;23;2;1;7;mindful breathing (MB);another common component of MBSR, mindful breathing. Using a 20-min guided meditation, participants sat upright and attempted to focus attention on their breath as it passed through the opening of the nostrils or on the rising and falling of the abdomen or chest;sitting meditation;none;2;6;60;2;6;NA;1;20;total minutes over study: 540;224;25;NA,,,,,,,,
"29;24;1;1;7;body in mind training (BMT);""It combines concepts from the neurosciences", mindfulness, embodied,,,,,,,,
cognition, psychology, and tai chi, and gently and nonjudgmentally,,,,,,,
uses the body as an anchor to attention and propriocep-tive processes [21, 22]. For this study, we added 3 final sessions on,,,,,,,,
self-compassion exercises to the original protocol. For more details,,,,,,,,,,
on the protocol description," see the online supplementary material"";NA;NA;1;8;120;2;8;5.67 (2.5) sessions;1;20;NA;NA;84;1 adverse effect in BMT", 1 in QoL pg 6 ,,,,,,,,
"30;25;1;1;7;mindfulness-based relapse prevention (MBRP);""One important difference in our",,,,,,,,,,
delivery of MBRP compared to the standard version is the use of rolling,,,,,,,,,,
groups (Witkiewitz et al., 2014). This covered the basics of,,,,,,,,,
mindfulness, definitions, discussion of the triangle of awareness, and,,,,,,,
the SOBER breathing space, and a brief meditation that took new and,,,,,,,,,
"returning participants through the SOBER breathing space."";SOBER breathing space;NA;1;8;90;2;4;93.3%-100% session attendence in individual sessions;1;30;""3.8 - 6.7 mean number of times participants practiced mindfulness between sessions; 3.8 * 30 minutes * 4 weeks =total amount of home practice"";3.0 - 5.9;44;NA",,,,,,,,,,
"32;26;1;1;7;mindfulness meditation (MM);""from Day’s MBCT manual",,,,,,,,,,
with all cognitive-behavioral and mindful movement,,,,,,,,,,
components removed [27]. Participants were trained in a,,,,,,,,,,
series of formal mindfulness meditation (Vipassana),,,,,,,,,,
"practices"";""body scan; breath-focused meditation; 3min breathing space"";NA;1;8;120;2;8;17 attended >= 4 sessions;1;20-45;total amount of home practice 3025 min;242min;23;""During the trial", five (7%) participants reported an adverse,,,,,,,,,
event (N¼1 in CT, N¼2 in MM, N¼2 in,,,,,,,,
MBCT). All events were deemed unrelated to participation,,,,,,,,,,
in the trial. Within the MM condition, one participant,,,,,,,,,
sought treatment for an acute injury (i.e., broken,,,,,,,,,
neck due to a fall) at an emergency department at the,,,,,,,,,,
time of the six-month follow-up, and one participant,,,,,,,,,
"reported possible domestic violence during treatment""",,,,,,,,,,
"32;26;2;1;1;mindfulness-based cognitive therapy (MBCT);""MBCT protocol was the treatment manual and",,,,,,,,,,
workbook developed by Day [27], adapted for CLBP.,,,,,,,,,
The MBCT for pain protocol integrates cognitive and behavioral,,,,,,,,,,
"techniques with mindfulness-based strategies."";NA;NA;1;8;120;2;8;21 attended >=4 sessions;1;NA;total amount of home practice 2088min;219 min;23;""Two participants in MBCT endorsed a temporary increase",,,,,,,,,,
in suicidal ideation. One of these participants did,,,,,,,,,,
not commence treatment and reported suicidal ideation,,,,,,,,,,
at post-treatment; the other event occurred at the time of,,,,,,,,,,
"the three-month follow-up""",,,,,,,,,,
"33;27;1;1;7;acceptance-based behaviour therapy (ABBT);""The ABBT protocol was widely based on that of Roemer and",,,,,,,,,,
Orsillo (2007) and its first adaptation for a group format used by,,,,,,,,,,
Heatherington et al. (2014). It also integrated two new strategies:,,,,,,,,,,
"exposure and “The Matrix” (see Table 1)."";NA;NA;1;10;120;2;14;NA;1;5 to 20;NA;NA;46;NA",,,,,,,,,,
"35;29;1;1;1;mindfulness-based stress reduction (MBSR);""40 We used the MBSR protocol",,,,,,,,,,
developed at the University of Massachusetts Medical School,,,,,,,,,,
"(USA) with minimal adaptations for our participants with FM."";""body scan; sitting meditation; hatha yoga; walking meditation; metta exercise"";NA;1;8;120;1;8;mean number of attended sessions 5.00(2.74);1;45;""mean days of pratice per week 2.5 (2.17); mean duration of 53 min (49); 23 pp reported no practice at any day; 41 reported practicing at least 2 days per week; 2.5 * 53 minutes * 8 weeks"";2.17 & 49;75;""3 participants reported having experienced notable adverse effects during and/or after the intervention with significant",,,,,,,,,,
frequency: one experienced fatigue (mild), and another experienced,,,,,,,,,
palpitations (intense). A third participant said that she had,,,,,,,,,,
experienced a variety of adverse effects (fatigue, tension, headaches,,,,,,,,
dizziness, somnolence, gain of weight, and loss of sexual,,,,,,,
desire) at a moderate intensity and frequency, although they possibly,,,,,,,,,
did not understand that the effects had to be related to the,,,,,,,,,,
intervention, or they could have been associated with medications,,,,,,,,,
they were taking (Lyrica and Zolpidem)—it was not possible to verify. Five participants reported experiencing adverse symptoms after the,,,,,,,,,,
"MBSR intervention but at a very low frequency and intensity""",,,,,,,,,,
"36;30;1;1;7;Mindfulness Training (MT);""The interventions were delivered in a series of three 1.5-h",,,,,,,,,,
weekly individual sessions and included intensive daily home,,,,,,,,,,
practice. The participants of both groups received a booklet,,,,,,,,,,
that described in detail the practices for each day along with,,,,,,,,,,
their rationale and related psycho-educational material; but they followed the standard sequence of mindfulnessbased,,,,,,,,,,
"cognitive therapy (Segal et al. 2013)"";""body scan; minful movement; sitting meditation; open awareness"";breathing spaces", etc.;1;3;90;2;3;NA;1;50;NA;NA;38;NA,,,,,,,,,
"37;31;1;1;2;mindfulness-based cognitive therapy (MBCT);""The treatment protocol followed the MBCT manual",,,,,,,,,,
developed by Segal, Williams and Teasdale (2002). minor alterations were made to adapt the program,,,,,,,,,
to chronically depressed patients. For example, possible suicidal,,,,,,,,,
tendencies were carefully assessed during the preclass interview.,,,,,,,,,,
Moreover, instead of exploring early warning signs for relapse,,,,,,,,,
early warning signs for a further deterioration of mood were,,,,,,,,,,
"explored and possible functional coping strategies were discussed."";""body scan; sitting meditation; yoga"";""(i.e.", exercises designed to integrate the application of awareness,,,,,,,,,
"skills into daily life) and cognitive– behavioral skills"";1;8;150;2;8;NA;1;40;NA;NA;36;""There were no suicides", suicide attempts, or other serious,,,,,,,,
"adverse events.""",,,,,,,,,,
"38;32;1;1;1;mindfulness-based stress reduction (MBSR);""MBSR. MBSR followed the standard curriculum [66] with the exception that instead of",,,,,,,,,,
holding a 1-day meditation retreat, participants had four additional weekly group sessions,,,,,,,,,
"between the standard Class 6 and to create 12 weekly 2.5 hour sessions"";""minduf breathing; body scan; loving kindness"";involves informal mindfulness;1;12;150;2;12;NA;1;45;NA;NA;36;NA",,,,,,,,,,
"39;33;1;1;7;Mindfulness-Oriented Recovery Enhancement (MORE);""(Garland", 2013). MORE sessions involved mindfulness training to promote self-awareness, self-regulation, and self-transcendence (see Vago & Silbersweig," 2012); reappraisal training to engender meaning and psychological growth in the face of adversity; and training in savoring pleasant events and emotions to enhance natural reward processing and positive affectivity"";""mindful breathing; body scan"";3 minute breathing space prior to opiod use;1;8;120;2;8;NA;1;15;NA;NA;50;NA",,,,,,
"40;34;1;1;7;Mindfulness-Oriented Reovery Enhancement (MORE);""MORE unites complementary aspects of mindfulness training",,,,,,,,,,
third-wave cognitive-behavioral therapy (CBT), and principles from positive psychology,,,,,,,,,
into an integrative intervention strategy (Garland," 2013). "";""mindful breathing; body scan"";3 minute breathing space prior to opiod use;1;8;120;2;8;NA;1;15;average number of minutes practiced a week 166.9;93.4;57;NA",,,,,,,,,
