report_id;study_id;treatment_id;t_type;t_program;t_name;t_desc;t_prac_form;t_prac_inform;t_deliver;t_session_no;t_session_l;t_add;t_total_wks;t_attend;t_ho;t_ho_l;t_ho_average;t_ho_SD;t_n_base;t_harm,,,,,,,,,,
41;35;1;1;7;Mindfulness-Oriented Reovery Enhancement (MORE);MORE—MORE unites complementary aspects of mindfulness training, third-wave cognitive-behavioral therapy," and principles from positive psychology into an integrative intervention strategy.;""mindful breathing; body scan"";3 minute breathing space prior to opiod use;1;10;120;2;10;attended on average 9.0 (2.0) sessions;1;15;NA;NA;64;NA",,,,,,,,
"42;36;1;1;1;mindfulness-based stress reduction (MBSR);""Aweek-by-week description",,,,,,,,,,
of the program has been previously published.20 The program provides,,,,,,,,,,
patients with psychoeducation on the relationship between stress and health,,,,,,,,,,
while meditation techniques and gentle yoga are practiced to support the,,,,,,,,,,
"development of mindful awareness and responding to stress."";""body scan; sitting meditation; hatha yoga; walking meditation; mindfulness of walking", standing," eating"";NA;1;8;90;1;8;NA;1;45;NA;NA;64;NA",,,,,,,,
"43;37;1;1;7;mindfulness-based relapse prevention (MBRP);""12-weeks contingency management + All sessions began",,,,,,,,,,
with a guided meditation, followed by homework review and relapse prevention exercises, guided by the MBRP manual,,,,,,,,
(Bowen et al. 2011). Goals of MBRP include increasing,,,,,,,,,,
awareness of relapse triggers, interrupting Bautomatic^ behavior,,,,,,,,,
sequences to promote mindful responses (versus,,,,,,,,,,
Breactions^) to triggers and cravings, and practicing nonjudgmental,,,,,,,,,
"awareness of one’s moment-to-moment experience."";NA;NA;1;8;75;2;12;NA;1;NA;NA;NA;31;NA",,,,,,,,,,
"44;38;1;1;1;mindfulness-based stress reduction (MBSR);""(1) an",,,,,,,,,,
introductory meeting for BRIDGES-only participants; (2) 8,,,,,,,,,,
weekly 2.5- to 3.5-hour sessions in groups of 25 to 30,,,,,,,,,,
women, with an additional 7.5-hour intensive retreat session,,,,,,,,,
given in the sixth week; and (3) 3 additional 2-hour sessions,,,,,,,,,,
at monthly intervals following completion of the MBSR,,,,,,,,,,
intervention, for the purpose of support and discussing,,,,,,,,,
"practice issues."";""body scan; sitting meditation; hatha yoga; walking meditation; mindfulness of walking", standing," eating"";NA;1;8;150;1;8;NA;1;NA;NA;NA;53;NA",,,,,,,,
"45;39;1;1;2;mindfulness-based cognitive therapy (MBCT);""scores were in the highly acceptable range.",,,,,,,,,,
MBCT was adapted from the original manual developed by Segal,,,,,,,,,,
et al. [37] , with modifications for TRD for the purpose of this,,,,,,,,,
study (published elsewhere) [38] . Using guided meditations and,,,,,,,,,,
exercises from CBT, participants were taught skills to identify cognitive,,,,,,,,,
distortions and to disengage from depression-focused ruminative,,,,,,,,,,
thinking patterns through the use of nonjudgmental and,,,,,,,,,,
"present-focused awareness."";""body scan; sitting meditation; mindful movement"";""3 minute breathing space; mindfulness of routine daily activities"";1;8;135;2;8;NA;1;45;NA;NA;87;NA",,,,,,,,,,
"46;40;1;1;1;mindfulness-based stress reduction (MBSR);""The MBSR program has been",,,,,,,,,,
described previously.11Briefly; In-class,,,,,,,,,,
practices (breath-awareness, a body-scan, and gentle Hatha yoga) are used to cultivate,,,,,,,,
awareness of internal present-moment experiences with an accepting, non-judgmental,,,,,,,,,
"stance. For"";body scan;present-focused awareness during eating"," bathing or cleaning;1;8;120;1;8;89 subjects attended at least 1 class;1;20;NA;NA;48;""Adverse events",,,,,,,,,
were 2% for MBSR (n=1, “muscle soreness”) and 2% for SME (n=1," “sleep disruption”).""",,,,,,,,
"47;41;1;1;1;mindfulness-based stress reduction (MBSR);""Mindfulness-based stress",,,,,,,,,,
reduction (MBSR) is a psycho-educational programme,,,,,,,,,,
that teaches emotional and physical self-care.,,,,,,,,,,
Participants receive training in formal and informal,,,,,,,,,,
mindfulness practices and learn about the role of good,,,,,,,,,,
nutrition, rest and exercise, as well as the role played by,,,,,,,,
thoughts and emotions in physical and emotional,,,,,,,,,,
health. They are taught how to cultivate a non-reactive,,,,,,,,,,
awareness of mental and physical experience in an,,,,,,,,,,
effort to increase self-efficacy and reduced emotional,,,,,,,,,,
"reactivity—leading to healthier lifestyle practices"";""body scan; sitting meditation; hatha yoga; walking meditation; mindfulness of walking", standing," eating"";NA;1;8;90;NA;8;NA;1;NA;NA;NA;29;NA",,,,,,,,
"48;42;1;1;7;mindful awareness practices (MAP);""is based on the",,,,,,,,,,
Mindfulness-Based Stress Reduction Program (MBSR),,,,,,,,,,
[39] and Mindfulness-Based Cognitive Therapy (MBCT),,,,,,,,,,
[40]. MAP is intended to train participants to focus attention,,,,,,,,,,
on the present moment and to develop a non-evaluative,,,,,,,,,,
accepting attitude. The aim is to improve self-regulation of,,,,,,,,,,
attention, to practice focusing of attention and among others is based on the,,,,,,,,,
Mindfulness-Based Stress Reduction Program (MBSR),,,,,,,,,,
[39] and Mindfulness-Based Cognitive Therapy (MBCT),,,,,,,,,,
[40]. MAP is intended to train participants to focus attention,,,,,,,,,,
on the present moment and to develop a non-evaluative,,,,,,,,,,
accepting attitude. The aim is to improve self-regulation of,,,,,,,,,,
attention," to practice focusing of attention and among others"";NA;NA;2;8;150;2;8;NA;1;5 gradually increasing;NA;NA;41;NA",,,,,,,,,
49;43;1;1;1;mindfulness-based stress reduction (MBSR);The MBSR intervention followed the 8-week curriculum developed by Kabat-Zinn [18] and weekly sessions that spanned 2 to 2.5 hours involved instruction and practice in formal “exercises” or “meditations” (i.e., sitting meditation, body scans," and yoga postures) and informal practices (awareness of personal reactions to everyday events) aimed to promote mindfulness in daily life.;""sitting meditation; body scan; yoga"";awareness of personal reactions in everyday life;1;8;135;NA;8;NA;1;45;NA;NA;27;NA",,,,,,,
"50;44;1;1;1;mindfulness-based stress reduction (MBSR);""MBSR was delivered",,,,,,,,,,
in a manner consistent with the standard MBSR curriculum,,,,,,,,,,
[30], tailored to the needs of fatigued survivors; meditation). Through these practices, presentcentered,,,,,,,,
awareness is enhanced, facilitating non-reactive and,,,,,,,,,
non-judgmental acceptance of thoughts, feelings, and bodily,,,,,,,,
sensations [15,18, 28]. Relating to symptoms such as fatigue,,,,,,,,
in this adaptive way has been shown to reduce symptomrelated,,,,,,,,,,
"interference with quality of life [29]."";""body scan","; mindful movement; yoga; sitting meditaton; walking meditation; loving-Kindness meditation"";NA;2;8;120;2;8;average of 5.8 (2.1) sessions;1;20;""average of 117.6 min per week; 117.6 * 8 weeks "";85.9;35;NA",,,,,,,,,
"51;45;1;1;7;Grady Compassion and Meditation Program (CAMP);""The CM Grady CAMP protocol is",,,,,,,,,,
secular in content and provided in six,,,,,,,,,,
stages. Each weekly session included a checkin,,,,,,,,,,
"discussion of current life stress and weekly meditation pratice"";NA;NA;2;6;90;2;6;NA;1;NA;NA;NA;35;NA",,,,,,,,,,
"52;46;1;1;7;mindfulness-based intervention for social anxeity disorder (MBI-SAD);""The MBI-SAD borrows from Kabat-Zinn's MBSR curriculum and",,,,,,,,,,
includes other meditations practices and themes described by,,,,,,,,,,
Buddhist and secular meditation teachers and scholars. Participants,,,,,,,,,,
constructed a fear hierarchy of social situations and gradually,,,,,,,,,,
"progressed through the hierarchy during treatment."";""body scan; sitting meditation; yoga; walking meditation; mindful exposure; compassion meditations"";NA;2;12;120;2;12;8.22 (3.6) sesseions;1;NA;number of homework logs/worksheets submitted 7.87 ;3.5;52;NA",,,,,,,,,,
"53;47;1;1;7;mindfulness-based eating awareness training (MB-EAT);""The MB-EAT program is designed to increase mindful",,,,,,,,,,
awareness of experiences related to eating and to decrease,,,,,,,,,,
mindless or habitual reactivity. In particular, mindful awareness,,,,,,,,,
exercises focus on physical hunger and satiety cues,,,,,,,,,,
overall food intake, and physical, cognitive, social–environmental,,,,,,,
and emotional triggers of bingeing. day. Modeled on the,,,,,,,,,,
Mindfulness-Based Stress Reduction (MBSR) program,,,,,,,,,,
"(Kabat-Zinn 1990)"";""body scan; raisin exercise; hunger meditation; taste satiety meditation; seated yoga; wisdom & walking meditation; forgiveness meditation"";NA;1;9;150;2;12;NA;1;20;""average of 16.49 times per week over 6.15 days; 6.15 * 20 minutes*12 weeks=1476"";NA;53;NA",,,,,,,,,,
"54;48;1;1;7;compassion meditation (CM);""The compassion meditation protocol was an adaptation of",,,,,,,,,,
Cognitively-Based Compassion Training (CBCT; Negi, 2013),,,,,,,,,
which we previously refined for use with veterans (CBCT-Vet;,,,,,,,,,,
Lang et al.," 2017)."";NA;NA;1;10;90;2;10;7.3 (3.0) sessions;1;NA;689.5 total minutes of practice;NA;17;NA",,,,,,,,,
"55;49;1;1;7;mindfulness meditation program (MM);""MM was based on MBSR [40]", which is a longer program,,,,,,,,,
teaching awareness and mindfulness skills, including basic,,,,,,,,,
"meditation practice and yoga"";breath awareness", body scans, walking meditation, forgiveness meditation;NA;1;3;120;2;3;NA;1;NA;NA;NA;20;NA,,,,,,,
"56;50;1;1;1;mindfulness-based training (MBT);""training. Modeled after Jon Kabat-Zinn’s",,,,,,,,,,
8-week MBSR program, our 4-week MBT program was designed to,,,,,,,,,
provide training in the skills and principles of mindfulness in an,,,,,,,,,,
"abbreviated form. First sustained attention practices and then open monitoring "";""body scan; body sweep; breath awareness; long sitting meditation"";NA;1;4;120;2;4;91.3% attended all 4 sessions;1;40;""20.5 days on average; total average practice time 817 min"";NA;20;participation. No adverse events were observed during this trial. Pg 3",,,,,,,,,,
"57;51;1;1;1;mindfulness-based therapy (MBT);""1.3.2. Mindfulness-based therapy",,,,,,,,,,
The Mindfulness-Based Therapy (MBT) protocol was modeled,,,,,,,,,,
after the MBSR program developed at the University of Massachusetts,,,,,,,,,,
Medical Center (Kabat-Zinn," 1982)."";""mindful eating; minfulness check-in; sitting meditation; body scan; walking meditation; hatha yoga"";NA;2;4;60;2;4;NA;1;NA;NA;NA;20;NA",,,,,,,,,
"58;52;1;1;2;Mindfulness (MF);""All participants received the psycho-education component which focused upon gambling",,,,,,,,,,
education and monitoring. The mindfulness sessions were developed from the mindfulness based interventions,,,,,,,,,,
used in Mindfulness Based Cognitive Therapy (Segal et al. 2002). These sessions included:,,,,,,,,,,
a rationale for using mindfulness meditation for treating PG; a mindful eating exercise;,,,,,,,,,,
increasing awareness of ‘automatic pilot’ thinking; insight meditation practices; 3-min,,,,,,,,,,
mindfulness of breathing exercises; noticing and naming thoughts and dealing with difficult,,,,,,,,,,
emotions during meditation; overcoming barriers and establishing a regular practice of,,,,,,,,,,
"meditation."";NA;NA;2;4;60;2;4;8.89 (2.91) mean number of sessions completed at post treatment;1;NA;NA;NA;28;NA",,,,,,,,,,
"59;53;1;1;2;mindfulness-based cognitive therapy (MBCT);""suppl. material", see www.karger.com/doi/10.1159/000478267).,,,,,,,,,
MBCT was based on the protocol for depression [14] , with tinnitusrelated,,,,,,,,,
modifications that included a greater emphasis on sound,,,,,,,,,,
meditation and education around the cognitive model of tinnitus,,,,,,,,,,
[21] ," and the importance of attentional processes in tinnitus"";""eating meditation; body scan; sitting meditation including awareness of sounds; mindful movement; sitting with difficulty "";""minful awareness of routine activity; midnful eating; 3 min breathing space"";1;8;120;2;8;7.1 (1.7) average session attendance;1;NA;1315 mean practice time in minutes;548;39;""We recorded 2 adverse events (1 in each group). One",,,,,,,,,
MBCT participant reported significant depression at 6,,,,,,,,,,
months, and 1 RT participant reported significant anxiety,,,,,,,,,
"at the 6-month follow-up.""",,,,,,,,,,
"60;54;1;1;7;mindfulness-based eating awareness training (MB-EAT) for Diabetes (MB-EAT-D);""maintenance of change.",,,,,,,,,,
MB-EAT for Diabetes (MB-EAT-D) is a variation of the,,,,,,,,,,
intervention developed originally for binge eating disorder,,,,,,,,,,
and obesity (Kristeller & Wolever, 2011). eating. The training is designed to help individuals interrupt,,,,,,,,,
“mindless” and stress-related eating and reengage the natural,,,,,,,,,,
"physiological processes of eating regulation"";NA;NA;1;10;150;2;12;NA;1;NA;NA;NA;32;NA",,,,,,,,,,
"61;55;1;1;2;mindfulness-based cognitive therapy (MBCT);""MBCT program was based on the standardized MBCT manual ([46]; Table 2)."";""Raisin exercise; mindful breathing; gentle yoga; mindful walking; exploring difficulty"";3-min breathing space;1;8;150;2;8;NA;1;45;NA;NA;20;NA",,,,,,,,,,
62;56;1;1;1;mindfulness-based stress reduction (MBSR);each. MBSR was conducted according to the protocol developed by Jon Kabat-Zinn, Ph.D. and colleagues at the University of Massachusetts, Boston (Stahl and Goldstein, 2010). We previously modified the MBSR meditation and light yoga sessions to reduce risk of injury to older patients (Lenze et al., 2014), and these modified sessions were administered in this study.;NA;NA;1;8;90;1;8;7.3 (2.8) mean number of sessions;1;1;NA;NA;47;NA,,,,,
"63;57;1;2;6;transcendental meditation TM;""14 TM was delivered",,,,,,,,,,
by certified instructors in the same standardised format,,,,,,,,,,
offered in a community setting13 and in previous TM,,,,,,,,,,
clinical trials sponsored by the US National Institutes of,,,,,,,,,,
Health.29–32 No modifications were made to specifically,,,,,,,,,,
address PTSD symptoms, and sessions did not involve,,,,,,,,,
"PTSD psychoeducation"";NA;NA;3;12;90;2;12;mean number of sessions attended 9.0 (4.3);1;40;52 (76%) report frequency of home practice at least once per day;NA;68;""post-test data.",,,,,,,,,,
There were no treatment-related adverse events for any,,,,,,,,,,
of the three treatments. The numbers of serious adverse,,,,,,,,,,
events reported during the trial were not significantly,,,,,,,,,,
different among treatment groups. There were three,,,,,,,,,,
serious adverse events in the TM group (two suicide,,,,,,,,,,
attempts, one death [non-suicidal]), two in the PE group,,,,,,,,
(one drug overdose, one illness), and two in the HE,,,,,,,,
"group (two psychiatric hospitalisations).""",,,,,,,,,,
"64;58;1;1;2;mindfulness-based cognitive therapy (MBCT);""TAU. The course followed the MBCT program",,,,,,,,,,
as described by Segal, Williams, and Teasdale (18), that,,,,,,,
translated in Persian by Mohammadkhani and Rezaee,,,,,,,,,,
"Dogaheh (19)."";NA;NA;1;8;120;2;8;NA;1;60;NA;NA;30;NA",,,,,,,,,,
"65;59;1;1;1;mindfulness-based stress reduction (MBSR);""The MBSR training was most similar to and very minimally adapted",,,,,,,,,,
from the standard protocol designed by Jon Kabat-Zinn at the,,,,,,,,,,
University Massachusetts Medical School.and metaphorical language,,,,,,,,,,
"was removed to ensure comprehensibility."";""body scan; breath awareness; mindful eating", walking," conversing"";NA;1;8;120;2;8;6.5 (1.2) classes attended;1;45;NA;NA;15;NA",,,,,,,,
"66;60;1;1;7;meditation group;""the intervention",,,,,,,,,,
group received group-based stress-reduction therapy based,,,,,,,,,,
on mindfulness skills—taught by a psychiatrist trained in,,,,,,,,,,
this technique—drawn from a range of formal and informal,,,,,,,,,,
"mindfulness-based cognitive therapy practices [17]"";mindfulness of breath", thoughts, bodily sensations, sounds and everyday activities;NA;1;8;120;2;8;NA;1;45;NA;NA;24;NA,,,,,,,
"67;61;1;1;1;mindfulness-based stress reduction (MBSR);Those randomized to MBSR received the standard MBSR program developed by Jon Kabat-Zinn at the University of Massachusetts Medical Center [40];""body scan; sitting meditation; hatha yoga postures; mindfulness of walking"," standing &eating"";NA;1;8;150;1;8;NA;1;30;NA;NA;43;""There were no adverse events in the MBSR or health education",,,,,,,,,
"group.""",,,,,,,,,,
"68;62;1;2;6;transcendental meditation TM;""The Transcendental Meditation",,,,,,,,,,
(TM) technique is a standardized,,,,,,,,,,
simple mental procedure, practiced,,,,,,,,,
twice a day for 20 minutes while sitting,,,,,,,,,,
comfortably with eyes closed.15 This included the presentation,,,,,,,,,,
of principles, TM benefits, discussion,,,,,,,,
of mechanics of the technique, and a,,,,,,,,,
brief personal interview (session 1),,,,,,,,,,
personal instruction (session 2), and,,,,,,,,,
three follow-up meetings in smallgroups,,,,,,,,,,
(sessions 3,4," and 5)."";NA;NA;1;12;90;2;24;meeting attendance 80.6%;1;40;NA;NA;85;NA",,,,,,,,
"69;63;1;1;1;mindfulness-based stress reduction (MBSR);The intervention followed the MBSR protocol developed by Jon Kabat-Zinn (24). Supplementary Table 1;""gentle yoga; breath work; body scan"";NA;1;8;120;1;8;NA;1;45;practiced on >= 70% of the assigned days;NA;33;Two adverse events were likely related to the intervention: one MBSR participant experienced leg spasticity of moderate severity after a guided progressive muscle relaxation exercise in class", another person experienced increased levels of anxiety and a migraine after the MBSR retreat.,,,,,,,,,
70;64;1;1;2;mindfulness-based cognitive therapy;MBCT is a manualized 8-week group intervention that integrates components of cognitive behavioral therapy (Beck, 1979) and mindfulness-based stress reduction (MBSR) (Kabat-Zinn, 1990). MBCT is designed to prevent relapse of major depression by improving individuals’ ability to recognize and disengage from ruminative thinking and to process depressogenic information in ways that is hypothesized to decrease risk for depression relapse (Segal, Williams, & Teasdale, 2013).;NA;NA;1;8;150;2;8;mean number of intervention sessions completed 8.87 (2.93);1;50;NA;NA;46;NA,,,,,
"72;65;1;1;1;mindfulness-based stress reduction (MBSR);NA;""minful eating exercise; body scan; mindful breathing; mindful walking: mindful movement; sitting meditation"";NA;1;13;90;2;13;NA;1;NA;NA;NA;32;NA",,,,,,,,,,
"73;66;1;1;7;mindful eating and living intervention (MEAL);""The intention of the MEAL intervention was to apply mindfulness",,,,,,,,,,
to eating behavior. The goal was to cultivate an increased,,,,,,,,,,
awareness of eating behavior and provide participants,,,,,,,,,,
with greater control over eating resulting in decreased bingetype,,,,,,,,,,
eating, loss of weight," and reduced health risks. based on Kristeller et al. (2006) modified"";NA;NA;1;6;120;2;6;NA;1;20;NA;NA;20;and there were no adverse events reported pg 839",,,,,,,,
"74;67;1;1;2;mindfulness-based cognitive therapy (MBCT);""MBCT was based on the protocol as developed",,,,,,,,,,
by Segal et al. (28). The central,,,,,,,,,,
components of MBCT were formal meditation,,,,,,,,,,
yoga exercises, and informal,,,,,,,,,
"daily mindfulness practices."";NA;NA;2;8;45-60;2;8;NA;1;30;homework compliance 61%;NA;31;NA",,,,,,,,,,
"75;68;1;1;2;mindfulness-based addiction therapy (MBAT);""MBAT)—The MBAT manual (Wetter et al.", 2009) created for this trial closely follows the content of Mindfulness-Based Cognitive Therapy (MBCT; Segal, Williams, & Teasdale, 2002)," but replaces depression-related material with material pertinent to smoking cessation."";""raisin exercise; body scan; sitting meditation; minful yoga; minful walking"";3-minute breathing space;1;8;120;2;8;NA;1;NA;average days spent practicing 3.43;1.54;154;NA",,,,,
"76;69;1;1;7;mindfulness therapy (MT);""Components of the interventions are listed in appendix e-1 on",,,,,,,,,,
the Neurology® Web site at Neurology.org. All participants received,,,,,,,,,,
an identical educational package on basic knowledge and management,,,,,,,,,,
of epilepsy, including layman terms of the etiology and types,,,,,,,,,
of seizure, sleep hygiene, and importance of drug adherence and,,,,,,,,
regular exercise. The MT protocol was designed based on several,,,,,,,,,,
guiding references on mindfulness.6,9,21,"22"";NA;NA;1;4;150;2;6;NA;1;45;NA;NA;30;""There was no adverse event during or after the",,,,,,,
"interventions""",,,,,,,,,,
77;70;1;1;7;mindfulness-based focused attention training (MBAT);williams et al. 2009;NA;NA;1;5;50;2;5;NA;1;40;NA;NA;39;NA,,,,,,,,,,
"78;71;1;1;7;mindful self-compassion (MSC);""Mindful Self-Compassion",,,,,,,,,,
is a protocol-standardized,,,,,,,,,,
intervention,,,,,,,,,,
aimed at increasing mindfulness and self-compassion,,,,,,,,,,
and,,,,,,,,,,
reducing the suffering associated with experiential avoidance.,,,,,,,,,,
It was designed and protocolized by Neff and Germer (Germer,,,,,,,,,,
& Neff, 2019; Neff & Germer," 2013)."";""compassion/loving-kindness meditation for loved ones; giving and receiving loving kindness meditation; compassionate friend meditation"";""soles of the feet; here-and now stones;finding loving kindness phrases; compassionate letter to myself; living with a vow; copassionate listening; self-compassion break in relationships; compassion with equanimity; savouring & gratitude"";1;8;150;2;8;120 attended at least one session;1;NA;NA;NA;62;No serious adverse events were observed.",,,,,,,,
"79;72;1;1;7;brief mindfulness based intervention (bMBT);""Exercises for the bMBT were",,,,,,,,,,
sourced and adapted primarily from a validated program,,,,,,,,,,
(Segal et al. 2002) modified for cancer patients (MBCT-Ca;,,,,,,,,,,
Bartley 2012). Exercises that expanded Segal’s suggestion to,,,,,,,,,,
Bsoften^ difficult thoughts and feelings (soften-soothe-allow;,,,,,,,,,,
Germer and Neff 2013) and a meditation (tree visualisation),,,,,,,,,,
designed for cancer patients (Rosenbaum and Kabat-Zinn,,,,,,,,,,
"2007) were also utilised."";""raisin meditation; mindful movement; body scan; tree visualisation; awareness of breath and letting go of thoughts meditation"";""mindful pause; soften-soothe allow exercise; mindful touch exercise"";1;3;90;2;3;27 completed all three sessions;1;20;0.81;1.47;32;NA",,,,,,,,,,
"80;73;1;2;5;consciously resting meditation (CRM);""CRM is a sound or mantra based meditation; uses sounds that have no meaning"," but their quieting effects have been known for thousand years "";NA;NA;1;21;60-120;2;4;50% class attendance;1;40;NA;NA;33;""No adverse",,,,,,,,,
"events due to the intervention were reported.""",,,,,,,,,,
"81;74;1;1;7;meditation awareness training (MAT);""Meditation awareness training is an 8-week SG-MBI in which mindfulness is an integral",,,,,,,,,,
component, but is not the exclusive focus (Shonin et al., 2014b; Van Gordon et al.," 2014)."";""compassion meditation; walking meditation"";NA;1;8;120;2;8;10 did not attend at least 7 of the 8 weekly sessions;1;nothing prescribed;""41.11 min per day on average; 41.11*7*8=2302.16 amount of practice total in minutes"";15.26;74;NA",,,,,,,
"82;75;1;1;2;mindfulness-based cognitive therapy (MBCT);""Participants in the intervention",,,,,,,,,,
group received mindfulness-based cognitive therapy (MBCT),,,,,,,,,,
"which is a widely used mindfulness meditation procedure.19"";NA;NA;1;8;120;2;8;NA;1;45;NA;NA;101;NA",,,,,,,,,,
"83;76;1;1;1;mindfulness-based stress reduction (MBSR);""standardized curriculum31 to teach mindfulness meditation/",,,,,,,,,,
"yoga without migraine modifications"";NA;NA;1;8;120;1;8;84% attended at least 5 classes;1;30;""4.2 days per week; 32.6 minutes per day; 4.2 * 32.6 *8 weeks = 1095.36 average minutes total"";""2.5; 14.6"";49;""Adverse eventswere systematically queriedandtrackedat each",,,,,,,,,,
study visit. Quarterly reports were provided to the Wake,,,,,,,,,,
Forest School ofMedicine Data Safety andMonitoring Board,,,,,,,,,,
which recommended continuation without modification at,,,,,,,,,,
every evaluation. One MBSR participant developed squamous cell carcinoma,,,,,,,,,,
"deemed unrelated to the study protocol.""",,,,,,,,,,
"84;77;1;1;1;mindfulness-based stress reduction (MBSR);""The MBSR program", modeled after that of Kabat-Zinn (Kabat-Zinn,,,,,,,,,
1990),";breath awareness; sitting and walking meditation; mindful yoga"";NA;1;8;150;1;8;""weekly attendance was good", 68% attended 7–8 sessions,,,,,,,,
18% attended 5–6 sessions, and 14% attended four or fewer,,,,,,,,,
"sessions (most of these women withdrew from the study)."";1;NA;NA;NA;96;""No adverse",,,,,,,,,,
"events were reported.""",,,,,,,,,,
"85;78;1;1;7;mindfulness-based relapse prevention (MBRP);""sample. For the above-mentioned reasons", the intervention,,,,,,,,,
was delivered in its standard form without any cultural,,,,,,,,,,
adaptation. Treatment rationale, model, objectives, and,,,,,,,
themes were according to the MBRP manual (Bowen et al.,,,,,,,,,,
2009, 2011). The overarching theme of momentary awareness,,,,,,,,,
and acceptance of cravings and affect (e.g., stress, depression,,,,,,,,
anxiety) was introduced and reinforced in complementary,,,,,,,,,,
ways throughout the training (Kabat-Zinn 1982," 2002)."";NA;NA;1;8;120;2;8;NA;NA;NA;NA;NA;37;""No unexpected or adverse reactions to",,,,,,,,,
"the intervention were noted.""",,,,,,,,,,
