report_id,study_id,treatment_id,t_type,t_program,t_name,t_desc,goal,format,practice_type,duration,medical_needs,intervention_type
1,1,1,1,2,mindfulness-based cognitive therapy (MBCT),full description by Segal et al. (39)  body scan; sitting meditation; stretch & breath; mindful movement; working with difficulty; 3 min breathing space (from Segal et al.)           ,prevent relapse,individual,cognitive,variable,general mental health,therapy
2,2,1,1,1,mindfulness based stress reduction (MBSR),diet/exercise guidelines; meditation practices modeled on MBSR            ,stress reduction,general,general mindfulness,long-term,general mental health,general mindfulness
4,3,1,1,7,mindfulness-based training (MBT),"20 treatment days in cognitive intensive outpatient program before -> then MT; the focus was on learning mindfulness practice. All of the participants in this track engaged in three hour mindfulness education and practice and listened daily to a 30-minute CD which consisted of mindful breathing exercises and focused on sensations in various parts of their bodies with awareness and non-judgment. Patients were further educated to mindfulness principles of letting go  events and not facts""       ",general mindfulness,general,general mindfulness,variable,general mental health,general mindfulness
5,4,1,1,7,mindfulness based stress reduction (MBSR),Adapted MBSR for anxiety disorders followed a manualized protocol3 written primarily by the first author (J.J.A.) in collaborationwith three experienced MBSR instructors. The manual largely reflected MBSR protocols from the University of Massachusetts Center for Mindfulness (Kabat-Zinn our adapted MBSR manual reflected patient and provider concerns from previous MBSR groups at the San Diego VA that group sessions the retreat     ,stress reduction,general,general mindfulness,long-term,general mental health,general mindfulness
6,5,1,1,7,mindfulness meditation program (MM),"Mindfulness meditation was used in an attempt to uncouple or neutralise the sensory signal of tinnitus from the interpretative and behavioural response thereby preventing a weak signal having a powerful conditioned response.""        ",general mindfulness,general,general mindfulness,variable,general mental health,meditation
7,6,1,1,1,brief mindfulness group,"introduction to mindfulness breathing and body scan skills. The second session covered the adverse effects of psychological distress on treatment outcome participantsÃ‚Â’ mindfulness practice experiences (Romcevich et al.  and discussing barriers to using mindfulness skills on the day of the blood test ?2 weeks after down-regulation. The third session included reviewing the contents of the previous two sessions. The fourth session was the same as the third session and took place on the last day of the hormone therapy""   ",general mindfulness,group,general mindfulness,short-term,general mental health,general mindfulness
8,7,1,1,2,mindfulness-based cognitive therapy (MBCT),"We followed the standard protocol for MBCT (Segal et al. patterns and thoughts associated with suicidality and preparation of an action plan to respond to suicidal crisis.""         ",prevent relapse,individual,cognitive,variable,general mental health,therapy
9,8,1,1,7,moment-by-moment in women's recovery (MMWR),Students learned about the role of automatic reactivity to stressors and its relation to addiction and relapse; the connections between stress            ,overcome addiction,general,general mindfulness,variable,addiction,general mindfulness
10,9,1,1,7,mindful awareness practices (MAPs) for daily living,"Session titles by week include: (1) Introduction to mindfulness Listening cultivating positive emotions and class wrap-up""         ",general mindfulness,general,general mindfulness,variable,general mental health,general mindfulness
11,10,1,2,7,mantram repetition therapy,"Mantram therapy is based on the premise that silently repeating a mantram (a spiritually related word or phrase selected by each individual from a recommended list) enables users to train attention of the presentmoment are taughtÃ‚Â—Ã‚Â“slowing downÃ‚Â” and Ã‚Â“one-pointed attentionÃ‚Â”Ã‚Â—has been shown to reduce stress and increase emotional selfregulation (13Ã‚Â–17). Participants were encouraged to practice all three skills as often as possible to interrupt stressful thoughts symptoms such as hyperarousal flashbacks events substance abuse relapse and inpatient detoxification).""",general mindfulness,individual,mantra,variable,general mental health,therapy
12,11,1,1,2,mindfulness-based cognitive therapy (MBCT),"following the standard protocol (Segal et al. 2002): Participants are first trained in sustained focused attention to the breath and to other bodily sensations. Later anchor for concentration emotions as objects of mindful attention and learn to perceive them as mental events and not as absolute truth (metacognitive awareness).""     ",prevent relapse,individual,cognitive,variable,general mental health,therapy
13,12,1,1,1,mindfulness based stress reduction (MBSR),The MBSR for anxiety disorders protocol from Arch et al. (2013) was used Massachusetts Center for Mindfulness (Kabat-Zinn          ,stress reduction,general,general mindfulness,long-term,general mental health,general mindfulness
14,13,1,1,7,body-affective mindfulness (BAM),BAM is based on (1) awareness practices such as body scan  (2) mindfulness in relationship practices such as loving kindness and self-compassion  (3) sensorimotor psychotherapy (Ogden somatic resources to attain and sustain a mindful disposition and ntegrates the concept of a stress response with the concept of a Ã‚Â“window of toleranceÃ‚Â” (Siegel     ,general mindfulness,general,general mindfulness,variable,general mental health,body-based
15,14,1,1,1,mindfulness based cancer recovery (MBCR),The intervention was modeled on the MBSR program developed at the Massachusetts Medical Center modified by Carlson and Speca 6 as MBCR  MBCR has its roots in contemplative spiritual traditions which mindfulness and nonjudgmental manner       ,overcome addiction,general,general mindfulness,variable,physical health,general mindfulness
16,15,1,1,7,affect regulation treatment to ehance methamphetamine intervention success (ARTEMIS),all get contingency management (CM): evidence-based behavioral intervention where individuals receive tangible reinforcement for biologically confirmed substance abstinence that has been tested as a stand-alone intervention and shown to boost the effectiveness of cognitivebehavioral therapy with stimulant users   targets positive affect  consists of eight core skills    ,overcome addiction,general,general mindfulness,variable,general mental health,therapy
18,16,1,1,2,mindfulness-based cognitive therapy (MBCT),MBCT is a manualised eight-week group program incorporating various mindfulness and cognitive restructuring techniques          ,prevent relapse,individual,cognitive,variable,general mental health,therapy
19,17,1,1,1,mindfulness based stress reduction (MBSR),"MBSR was modeled closely after the original MBSR program 9Ã‚Â—adaptated from the 2009 MBSR instructorÃ‚Â’s manual 18 by a senior MBSR instructor.TheMBSR program does not focus specifically on a particular condition such as pain. All classes included didactic content and mindfulness practice""        ",stress reduction,general,general mindfulness,long-term,general mental health,general mindfulness
20,18,1,1,7,mindfulness group,the mindfulness group issues and stress known to be relevant to their situation skills          ,general mindfulness,group,general mindfulness,variable,general mental health,general mindfulness
22,19,1,2,6,transcendental meditation TM,"Intensive phase consisted of five consecutive sessions of two hours duration each day. Follow-up phase involved bi-weekly sessions for three months sessions for additional three months.""          ",general mindfulness,general,mantra,variable,general mental health,meditation
23,20,1,1,2,mindfulness-based cognitive therapy (MBCT),according to Segal et al. 2002            ,prevent relapse,individual,cognitive,variable,general mental health,therapy
24,21,1,1,1,mindfulness-based intervention (MBI),developed by Larouche was based on Kabat-ZinnÃ‚Â’s Mindfulness-Based Stress Reduction (1990) and several other sources (Bartley Villate the specific needs and limitations of older adults in mind recommendations published by McBee (2008) and the results of a pilot study (Larouche      ,general mindfulness,general,general mindfulness,variable,general mental health,therapy
25,22,1,1,2,mindfulness-based cognitive therapy (MBCT),"twelve participants. MBCT is based on mindfulness training as developed by Jon Kabat-Zinn at the University Medical Center of Massachusetts from cognitive therapy. A detailed description of the original intervention can be found in Segal & Teasdale [15]. In the proposed trial of the manual will be applied: The mindfulness elements are adopted from the original manual elements are tailored to patients with OCD""   ",prevent relapse,individual,cognitive,variable,general mental health,therapy
27,23,1,1,7,body scan (BS),The BS intervention employed the body scan meditation            ,general mindfulness,general,body awareness,variable,general mental health,body-based
27,23,2,1,7,mindful breathing (MB),another common component of MBSR            ,general mindfulness,general,body awareness,variable,general mental health,general mindfulness
29,24,1,1,7,body in mind training (BMT),It combines concepts from the neurosciences cognition uses the body as an anchor to attention and propriocep-tive processes [21 self-compassion exercises to the original protocol. For more details on the protocol description        ,general mindfulness,general,general mindfulness,variable,general mental health,body-based
30,25,1,1,7,mindfulness-based relapse prevention (MBRP),"One important difference in our delivery of MBRP compared to the standard version is the use of rolling groups (Witkiewitz et al. mindfulness the SOBER breathing space returning participants through the SOBER breathing space.""       ",general mindfulness,general,general mindfulness,variable,general mental health,general mindfulness
32,26,1,1,7,mindfulness meditation program (MM),"from DayÃ‚Â’s MBCT manual with all cognitive-behavioral and mindful movement components removed [27]. Participants were trained in a series of formal mindfulness meditation (Vipassana) practices""        ",general mindfulness,general,general mindfulness,variable,general mental health,meditation
32,26,2,1,1,mindfulness-based cognitive therapy (MBCT),"MBCT protocol was the treatment manual and workbook developed by Day [27] The MBCT for pain protocol integrates cognitive and behavioral techniques with mindfulness-based strategies.""         ",prevent relapse,individual,cognitive,variable,general mental health,therapy
33,27,1,1,7,acceptance-based behaviour therapy (ABBT),"The ABBT protocol was widely based on that of Roemer and Orsillo (2007) and its first adaptation for a group format used by Heatherington et al. (2014). It also integrated two new strategies: exposure and Ã‚Â“The MatrixÃ‚Â” (see Table 1).""         ",general mindfulness,individual,general mindfulness,variable,general mental health,therapy
35,29,1,1,1,mindfulness based stress reduction (MBSR),"40 We used the MBSR protocol developed at the University of Massachusetts Medical School (USA) with minimal adaptations for our participants with FM.""          ",stress reduction,general,general mindfulness,long-term,general mental health,general mindfulness
36,30,1,1,7,mindfulness-based training (MBT),"The interventions were delivered in a series of three 1.5-h weekly individual sessions and included intensive daily home practice. The participants of both groups received a booklet that described in detail the practices for each day along with their rationale and related psycho-educational material  but they followed the standard sequence of mindfulnessbased cognitive therapy (Segal et al. 2013)""      ",general mindfulness,general,general mindfulness,variable,general mental health,general mindfulness
37,31,1,1,2,mindfulness-based cognitive therapy (MBCT),The treatment protocol followed the MBCT manual  developed by Segal to chronically depressed patients. For example tendencies were carefully assessed during the preclass interview.        ,prevent relapse,individual,cognitive,variable,general mental health,therapy
38,32,1,1,1,mindfulness based stress reduction (MBSR),"MBSR. MBSR followed the standard curriculum [66] with the exception that instead of  holding a 1-day meditation retreat between the standard Class 6 and to create 12 weekly 2.5 hour sessions"" minduf breathing; body scan; loving kindness involves informal mindfulness       ",stress reduction,general,general mindfulness,long-term,general mental health,general mindfulness
39,33,1,1,7,mindfulness-oriented recovery enhancement (MORE),???????? MORE ??????????? ?? ????????? ????? ? ??????? ??????????? ??? ???????????. ???? ??????? ?????????????? ? ?????????? ??????????? ??? ????????? ??????????? ?? ?????????? ?????????? ?????.,overcome addiction,general,general mindfulness,long-term,addiction,general mindfulness
40,34,1,1,7,mindfulness-oriented recovery enhancement (MORE),???????? MORE ??????????? ?? ????????? ????? ? ??????? ??????????? ??? ???????????. ???? ??????? ?????????????? ? ?????????? ??????????? ??? ????????? ??????????? ?? ?????????? ?????????? ?????.,overcome addiction,general,general mindfulness,long-term,addiction,general mindfulness
41,35,1,1,7,mindfulness-oriented recovery enhancement (MORE),???????? MORE ??????????? ?? ????????? ????? ? ??????? ??????????? ??? ???????????. ???? ??????? ?????????????? ? ?????????? ??????????? ??? ????????? ??????????? ?? ?????????? ?????????? ?????.,overcome addiction,general,general mindfulness,long-term,addiction,general mindfulness
42,36,1,1,1,mindfulness based stress reduction (MBSR),"Aweek-by-week description of the program has been previously published.20 The program provides patients with psychoeducation on the relationship between stress and health while meditation techniques and gentle yoga are practiced to support the development of mindful awareness and responding to stress.""        ",stress reduction,general,general mindfulness,long-term,general mental health,general mindfulness
43,37,1,1,7,mindfulness-based relapse prevention (MBRP),"12-weeks contingency management + All sessions began with a guided meditation (Bowen et al. 2011). Goals of MBRP include increasing awareness of relapse triggers sequences to promote mindful responses (versus Breactions^) to triggers and cravings awareness of oneÃ‚Â’s moment-to-moment experience.""      ",general mindfulness,general,general mindfulness,variable,general mental health,general mindfulness
44,38,1,1,1,mindfulness based stress reduction (MBSR),(1) an introductory meeting for BRIDGES-only participants weekly 2.5- to 3.5-hour sessions in groups of 25 to 30 women given in the sixth week        ,stress reduction,general,general mindfulness,long-term,general mental health,general mindfulness
45,39,1,1,2,mindfulness-based cognitive therapy (MBCT),"scores were in the highly acceptable range. MBCT was adapted from the original manual developed by Segal et al. [37]  study (published elsewhere) [38] . Using guided meditations and exercises from CBT distortions and to disengage from depression-focused ruminative thinking patterns through the use of nonjudgmental and present-focused awareness.""     ",prevent relapse,individual,cognitive,variable,general mental health,therapy
46,40,1,1,1,mindfulness based stress reduction (MBSR),"The MBSR program has been described previously.11Briefly  In-class practices (breath-awareness awareness of internal present-moment experiences with an accepting stance. For"" present-focused awareness during eating      ",stress reduction,general,general mindfulness,long-term,general mental health,general mindfulness
47,41,1,1,1,mindfulness based stress reduction (MBSR),"Mindfulness-based stress reduction (MBSR) is a psycho-educational programme that teaches emotional and physical self-care. Participants receive training in formal and informal mindfulness practices and learn about the role of good nutrition thoughts and emotions in physical and emotional  health. They are taught how to cultivate a non-reactive awareness of mental and physical experience in an effort to increase self-efficacy and reduced emotional reactivityÃ‚Â—leading to healthier lifestyle practices"" ",stress reduction,general,general mindfulness,long-term,general mental health,general mindfulness
48,42,1,1,7,mindful awareness practices (MAP),is based on the Mindfulness-Based Stress Reduction Program (MBSR) [39] and Mindfulness-Based Cognitive Therapy (MBCT) [40]. MAP is intended to train participants to focus attention on the present moment and to develop a non-evaluative accepting attitude. The aim is to improve self-regulation of attention Mindfulness-Based Stress Reduction Program (MBSR) [39] and Mindfulness-Based Cognitive Therapy (MBCT) [40]. MAP is intended to train participants to focus attention on the present moment and to develop a non-evaluative accepting attitude. The aim is to improve self-regulation of attention,general mindfulness,general,general mindfulness,variable,general mental health,general mindfulness
49,43,1,1,1,mindfulness based stress reduction (MBSR),The MBSR intervention followed the 8-week curriculum developed by Kabat-Zinn [18] and weekly sessions that spanned 2 to 2.5 hours involved instruction and practice in formal Ã‚Â“exercisesÃ‚Â” or Ã‚Â“meditationsÃ‚Â” (i.e.            ,stress reduction,general,general mindfulness,long-term,general mental health,general mindfulness
50,44,1,1,1,mindfulness based stress reduction (MBSR),"MBSR was delivered in a manner consistent with the standard MBSR curriculum [30] awareness is enhanced non-judgmental acceptance of thoughts sensations [15 in this adaptive way has been shown to reduce symptomrelated  interference with quality of life [29].""    ",stress reduction,general,general mindfulness,long-term,general mental health,general mindfulness
51,45,1,1,7,grady compassion and meditation program (CAMP),"The CM Grady CAMP protocol is secular in content and provided in six stages. Each weekly session included a checkin discussion of current life stress and weekly meditation pratice""         ",develop compassion,general,general mindfulness,variable,general mental health,meditation
52,46,1,1,7,mindfulness-based intervention for social anxeity disorder (MBI-SAD),"The MBI-SAD borrows from Kabat-Zinn's MBSR curriculum and  includes other meditations practices and themes described by Buddhist and secular meditation teachers and scholars. Participants constructed a fear hierarchy of social situations and gradually progressed through the hierarchy during treatment.""       ",general mindfulness,general,general mindfulness,variable,general mental health,therapy
53,47,1,1,7,mindfulness-based eating awareness training (MB-EAT),"The MB-EAT program is designed to increase mindful  awareness of experiences related to eating and to decrease mindless or habitual reactivity. In particular exercises focus on physical hunger and satiety cues overall food intake and emotional triggers of bingeing. day. Modeled on the Mindfulness-Based Stress Reduction (MBSR) program (Kabat-Zinn 1990)""    ",eating awareness,general,general mindfulness,variable,general mental health,general mindfulness
54,48,1,1,7,compassion meditation (CM),The compassion meditation protocol was an adaptation of  Cognitively-Based Compassion Training (CBCT which we previously refined for use with veterans (CBCT-Vet         ,develop compassion,general,general mindfulness,variable,general mental health,meditation
55,49,1,1,7,mindfulness meditation program (MM),"MM was based on MBSR [40] teaching awareness and mindfulness skills meditation practice and yoga""          ",general mindfulness,general,general mindfulness,variable,general mental health,meditation
56,50,1,1,1,mindfulness-based training (MBT),"training. Modeled after Jon Kabat-ZinnÃ‚Â’s 8-week MBSR program provide training in the skills and principles of mindfulness in an abbreviated form. First sustained attention practices and then open monitoring ""         ",general mindfulness,general,general mindfulness,variable,general mental health,general mindfulness
57,51,1,1,1,mindfulness-based training (MBT),1.3.2. Mindfulness-based therapy The Mindfulness-Based Therapy (MBT) protocol was modeled after the MBSR program developed at the University of Massachusetts Medical Center (Kabat-Zinn         ,general mindfulness,general,general mindfulness,variable,general mental health,general mindfulness
58,52,1,1,2,mindfulness (MF),"All participants received the psycho-education component which focused upon gambling education and monitoring. The mindfulness sessions were developed from the mindfulness based interventions used in Mindfulness Based Cognitive Therapy (Segal et al. 2002). These sessions included: a rationale for using mindfulness meditation for treating PG  a mindful eating exercise increasing awareness of Ã‚Â‘automatic pilotÃ‚Â’ thinking  insight meditation practices mindfulness of breathing exercises  noticing and naming thoughts and dealing with difficult emotions during meditation  overcoming barriers and establishing a regular practice of meditation."" ",general mindfulness,general,general mindfulness,variable,general mental health,general mindfulness
59,53,1,1,2,mindfulness-based cognitive therapy (MBCT),suppl. material MBCT was based on the protocol for depression [14]  modifications that included a greater emphasis on sound meditation and education around the cognitive model of tinnitus         ,prevent relapse,individual,cognitive,variable,general mental health,therapy
60,54,1,1,7,mindfulness-based eating awareness training (MB-EAT) for Diabetes (MB-EAT-D),"maintenance of change. MB-EAT for Diabetes (MB-EAT-D) is a variation of the intervention developed originally for binge eating disorder and obesity (Kristeller & Wolever Ã‚Â“mindlessÃ‚Â” and stress-related eating and reengage the natural physiological processes of eating regulation""       ",eating awareness,general,general mindfulness,variable,physical health,general mindfulness
61,55,1,1,2,mindfulness-based cognitive therapy (MBCT),MBCT program was based on the standardized MBCT manual ([46]; Table 2). Raisin exercise; mindful breathing; gentle yoga; mindful walking; exploring difficulty 3-min breathing space          ,prevent relapse,individual,cognitive,variable,general mental health,therapy
62,56,1,1,1,mindfulness based stress reduction (MBSR),each. MBSR was conducted according to the protocol developed by Jon Kabat-Zinn            ,stress reduction,general,general mindfulness,long-term,general mental health,general mindfulness
63,57,1,2,6,transcendental meditation TM,"14 TM was delivered by certified instructors in the same standardised format offered in a community setting13 and in previous TM clinical trials sponsored by the US National Institutes of Health.29Ã‚Â–32 No modifications were made to specifically address PTSD symptoms PTSD psychoeducation""      ",general mindfulness,general,mantra,variable,general mental health,meditation
64,58,1,1,2,mindfulness-based cognitive therapy (MBCT),"TAU. The course followed the MBCT program as described by Segal translated in Persian by Mohammadkhani and Rezaee Dogaheh (19).""         ",prevent relapse,individual,cognitive,variable,general mental health,therapy
65,59,1,1,1,mindfulness based stress reduction (MBSR),"The MBSR training was most similar to and very minimally adapted  from the standard protocol designed by Jon Kabat-Zinn at the University Massachusetts Medical School.and metaphorical language was removed to ensure comprehensibility.""        ",stress reduction,general,general mindfulness,long-term,general mental health,general mindfulness
66,60,1,1,7,meditation group,"the intervention group received group-based stress-reduction therapy based on mindfulness skillsÃ‚Â—taught by a psychiatrist trained in this techniqueÃ‚Â—drawn from a range of formal and informal mindfulness-based cognitive therapy practices [17]"" mindfulness of breath       ",general mindfulness,group,general mindfulness,variable,general mental health,meditation
67,61,1,1,1,mindfulness based stress reduction (MBSR),"Those randomized to MBSR received the standard MBSR program developed by Jon Kabat-Zinn at the University of Massachusetts Medical Center [40] body scan; sitting meditation; hatha yoga postures; mindfulness of walking group.""          ",stress reduction,general,general mindfulness,long-term,general mental health,general mindfulness
68,62,1,2,6,transcendental meditation TM,The Transcendental Meditation (TM) technique is a standardized simple mental procedure twice a day for 20 minutes while sitting comfortably with eyes closed.15 This included the presentation of principles of mechanics of the technique brief personal interview (session 1) personal instruction (session 2)  three follow-up meetings in smallgroups  ,general mindfulness,general,mantra,variable,general mental health,meditation
69,63,1,1,1,mindfulness based stress reduction (MBSR),The intervention followed the MBSR protocol developed by Jon Kabat-Zinn (24). Supplementary Table 1 gentle yoga; breath work; body scan NA          ,stress reduction,general,general mindfulness,long-term,general mental health,general mindfulness
70,64,1,1,2,mindfulness-based cognitive therapy (MBCT),MBCT is a manualized 8-week group intervention that integrates components of cognitive behavioral therapy (Beck            ,prevent relapse,individual,cognitive,variable,general mental health,therapy
72,65,1,1,1,mindfulness based stress reduction (MBSR),NA minful eating exercise; body scan; mindful breathing; mindful walking: mindful movement; sitting meditation NA          ,stress reduction,general,general mindfulness,long-term,general mental health,general mindfulness
73,66,1,1,7,mindful eating and living intervention (MEAL),The intention of the MEAL intervention was to apply mindfulness  to eating behavior. The goal was to cultivate an increased awareness of eating behavior and provide participants with greater control over eating resulting in decreased bingetype eating       ,eating awareness,general,general mindfulness,variable,general mental health,therapy
74,67,1,1,2,mindfulness-based cognitive therapy (MBCT),"MBCT was based on the protocol as developed by Segal et al. (28). The central components of MBCT were formal meditation yoga exercises daily mindfulness practices.""        ",prevent relapse,individual,cognitive,variable,general mental health,therapy
75,68,1,1,2,mindfulness-based addiction therapy (MBAT),??????? MBAT ???????????? ???????? ?????????????? ??? ????????? ????? ? ???????? ?? ??????????. ???? ???????? — ??????? ????????? ???????????? ???? ???????? ? ???????.,overcome addiction,individual,general mindfulness,variable,addiction,therapy
76,69,1,1,7,mindfulness-based training (MBT),"Components of the interventions are listed in appendix e-1 on  the NeurologyÃ‚Â® Web site at Neurology.org. All participants received an identical educational package on basic knowledge and management of epilepsy of seizure regular exercise. The MT protocol was designed based on several guiding references on mindfulness.6 interventions""    ",general mindfulness,general,general mindfulness,variable,general mental health,general mindfulness
77,70,1,1,7,mindfulness-based focused attention training (MBAT),williams et al. 2009 NA NA          ,general mindfulness,general,general mindfulness,variable,general mental health,general mindfulness
78,71,1,1,7,mindful self-compassion (MSC),Mindful Self-Compassion is a protocol-standardized intervention aimed at increasing mindfulness and self-compassion and reducing the suffering associated with experiential avoidance. It was designed and protocolized by Neff and Germer (Germer & Neff sourced and adapted primarily from a validated program    ,develop compassion,general,general mindfulness,variable,general mental health,general mindfulness
79,72,1,1,7,brief mindfulness based intervention (bMBT),Exercises for the bMBT were            ,general mindfulness,general,general mindfulness,short-term,general mental health,therapy
80,73,1,2,5,consciously resting meditation (CRM),"CRM is a sound or mantra based meditation; uses sounds that have no meaning events due to the intervention were reported.""           ",general mindfulness,general,mantra,variable,general mental health,meditation
81,74,1,1,7,meditation awareness training (MAT),Meditation awareness training is an 8-week SG-MBI in which mindfulness is an integral component           ,general mindfulness,general,general mindfulness,variable,general mental health,meditation
82,75,1,1,2,mindfulness-based cognitive therapy (MBCT),"Participants in the intervention group received mindfulness-based cognitive therapy (MBCT) which is a widely used mindfulness meditation procedure.19""          ",prevent relapse,individual,cognitive,variable,general mental health,therapy
83,76,1,1,1,mindfulness based stress reduction (MBSR),"standardized curriculum31 to teach mindfulness meditation/  yoga without migraine modifications""          ",stress reduction,general,general mindfulness,long-term,general mental health,general mindfulness
84,77,1,1,1,mindfulness based stress reduction (MBSR),"The MBSR program 1990) 18% attended 5Ã‚Â–6 sessions sessions (most of these women withdrew from the study).""         ",stress reduction,general,general mindfulness,long-term,general mental health,general mindfulness
85,78,1,1,7,mindfulness-based relapse prevention (MBRP),"sample. For the above-mentioned reasons was delivered in its standard form without any cultural adaptation. Treatment rationale themes were according to the MBRP manual (Bowen et al. 2009 and acceptance of cravings and affect (e.g. anxiety) was introduced and reinforced in complementary ways throughout the training (Kabat-Zinn 1982 the intervention were noted.""    ",general mindfulness,general,general mindfulness,variable,general mental health,general mindfulness
